season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,5,10,Zac,146.44,165.92,8,Hosta,0,L,Regular
2020,5,10,Zac,146.44,165.92,8,Hosta,0,L,Regular
2020,6,4,JP,109.8,171.14,3,Tommy,0,L,Regular
2020,6,4,JP,109.8,171.14,3,Tommy,0,L,Regular
2020,6,6,Aviel,111.5,162.04,11,Logan,0,L,Regular
2020,6,6,Aviel,111.5,162.04,11,Logan,0,L,Regular
2020,6,2,Montel,102.14,109.52,1,Tom,0,L,Regular
2020,6,2,Montel,102.14,109.52,1,Tom,0,L,Regular
2020,6,1,Tom,109.52,102.14,2,Montel,1,W,Regular
2020,6,1,Tom,109.52,102.14,2,Montel,1,W,Regular
2020,6,7,Conor,104.7,137.58,10,Zac,0,L,Regular
2020,6,7,Conor,104.7,137.58,10,Zac,0,L,Regular
2020,6,12,Randal,125.22,111.28,5,Patrick,1,W,Regular
2020,6,12,Randal,125.22,111.28,5,Patrick,1,W,Regular
2020,6,9,Naad,117.34,126.68,8,Hosta,0,L,Regular
2020,6,9,Naad,117.34,126.68,8,Hosta,0,L,Regular
2020,6,8,Hosta,126.68,117.34,9,Naad,1,W,Regular
2020,6,8,Hosta,126.68,117.34,9,Naad,1,W,Regular
2020,6,5,Patrick,111.28,125.22,12,Randal,0,L,Regular
2020,6,5,Patrick,111.28,125.22,12,Randal,0,L,Regular
2020,6,11,Logan,162.04,111.5,6,Aviel,1,W,Regular
2020,6,11,Logan,162.04,111.5,6,Aviel,1,W,Regular
2020,6,3,Tommy,171.14,109.8,4,JP,1,W,Regular
2020,6,3,Tommy,171.14,109.8,4,JP,1,W,Regular
2020,6,10,Zac,137.58,104.7,7,Conor,1,W,Regular
2020,6,10,Zac,137.58,104.7,7,Conor,1,W,Regular
2020,7,4,JP,104.72,136.5,7,Conor,0,L,Regular
2020,7,4,JP,104.72,136.5,7,Conor,0,L,Regular
2020,7,6,Aviel,167.46,189.4,9,Naad,0,L,Regular
2020,7,6,Aviel,167.46,189.4,9,Naad,0,L,Regular
2020,7,2,Montel,58.72,105.82,5,Patrick,0,L,Regular
2020,7,2,Montel,58.72,105.82,5,Patrick,0,L,Regular
2020,7,1,Tom,149.4,131.42,12,Randal,1,W,Regular
2020,7,1,Tom,149.4,131.42,12,Randal,1,W,Regular
2020,7,7,Conor,136.5,104.72,4,JP,1,W,Regular
2020,7,7,Conor,136.5,104.72,4,JP,1,W,Regular
2020,7,12,Randal,131.42,149.4,1,Tom,0,L,Regular
2020,7,12,Randal,131.42,149.4,1,Tom,0,L,Regular
2020,7,9,Naad,189.4,167.46,6,Aviel,1,W,Regular
2020,7,9,Naad,189.4,167.46,6,Aviel,1,W,Regular
